State;Population 2010;Fatal Crashes Number 2010;Death Number 2010;Population 2009;Fatal Crashes Number 2009;Death Number 2009;Population 2008;Fatal Crashes Number 2008;Death Number 2008;Population 2007;Fatal Crashes Number 2007;Death Number 2007;Population 2006;Fatal Crashes Number 2006;Death Number 2006;Population 2005;Fatal Crashes Number 2005;Death Number 2005
Alabama;4779736;792;862;4708708;774;848;4661900;888;966;4627851;1010;1110;4599030;1074;1208;4557808;1011;1131
Alaska;710231;52;56;698473;59;64;686293;55;62;683478;77;84;670053;71;74;663661;65;72
Arizona;6392017;698;762;6595778;710;807;6500180;842;937;6338755;948;1066;6166318;1113;1288;5939292;1036;1177
Arkansas;2915918;509;563;2889450;523;585;2855390;552;600;2834797;584;650;2810872;596;665;2779154;590;648
California;37253956;2500;2715;36961664;2816;3081;36756666;3145;3434;36553215;3572;3974;36457549;3835;4236;36132147;3846;4329
Colorado;5029196;409;448;5024748;437;465;4939456;473;548;4861515;508;554;4753377;485;535;4665177;554;606
Connecticut;3574097;298;319;3518288;210;223;3501252;243;264;3502309;252;277;3504809;283;301;3510297;261;274
Delaware;897934;92;101;885122;101;116;873092;105;121;864764;105;117;853476;133;148;843524;118;134
Florida;18801310;2262;2445;18537969;2369;2558;18328340;2760;2978;18251243;2943;3214;18089888;3097;3374;17789864;3194;3543
Georgia;9687653;1148;1244;9829211;1172;1284;9685744;1368;1493;9544750;1492;1641;9363941;1557;1693;9072576;1582;1729
Idaho;1567582;185;209;1545801;199;226;1523816;212;232;1499402;218;252;1466465;239;267;1429096;243;275
Illinois;12830632;858;927;12910409;832;911;12901563;950;1043;12852548;1127;1249;12831970;1136;1254;12763371;1230;1361
Indiana;6483802;701;754;6423113;632;693;6376792;721;814;6345289;804;898;6313520;817;899;6271973;855;938
Iowa;3046355;348;390;3007856;339;372;3002555;368;412;2988046;392;445;2982085;386;439;2966334;398;450
Kansas;2853118;376;431;2818747;348;386;2802134;348;385;2775997;379;416;2764075;427;468;2744687;384;428
Kentucky;4339367;694;760;4314113;730;791;4269245;752;826;4241474;803;864;4206074;837;913;4173405;885;985
Louisiana;4533372;633;710;4492076;726;821;4410796;817;912;4293204;893;985;4287768;886;982;4523628;865;955
Maine;1328361;144;161;1318301;153;159;1316456;144;155;1317207;170;183;1321574;171;188;1321505;151;169
Maryland;5773552;461;493;5699478;513;547;5633597;538;591;5618344;558;614;5615727;593;651;5600388;577;614
Massachusetts;6547629;299;314;6593587;308;334;6497967;337;363;6449755;390;417;6437193;404;430;6398743;418;442
