State,Population 2010,Fatal Crashes Number 2010,Death Number 2010,Population 2009,Fatal Crashes Number 2009,Death Number 2009,Population 2008,Fatal Crashes Number 2008,Death Number 2008,Population 2007,Fatal Crashes Number 2007,Death Number 2007,Population 2006,Fatal Crashes Number 2006,Death Number 2006,Population 2005,Fatal Crashes Number 2005,Death Number 2005
Alabama,"4,779,736",792,862,"4,708,708",774,848,"4,661,900",888,966,"4,627,851","1,010","1,110","4,599,030","1,074","1,208","4,557,808","1,011","1,131"
Alaska,"710,231",52,56,"698,473",59,64,"686,293",55,62,"683,478",77,84,"670,053",71,74,"663,661",65,72
Arizona,"6,392,017",698,762,"6,595,778",710,807,"6,500,180",842,937,"6,338,755",948,"1,066","6,166,318","1,113","1,288","5,939,292","1,036","1,177"
Arkansas,"2,915,918",509,563,"2,889,450",523,585,"2,855,390",552,600,"2,834,797",584,650,"2,810,872",596,665,"2,779,154",590,648
California,"37,253,956","2,500","2,715","36,961,664","2,816","3,081","36,756,666","3,145","3,434","36,553,215","3,572","3,974","36,457,549","3,835","4,236","36,132,147","3,846","4,329"
Colorado,"5,029,196",409,448,"5,024,748",437,465,"4,939,456",473,548,"4,861,515",508,554,"4,753,377",485,535,"4,665,177",554,606
Connecticut,"3,574,097",298,319,"3,518,288",210,223,"3,501,252",243,264,"3,502,309",252,277,"3,504,809",283,301,"3,510,297",261,274
Delaware,"897,934",92,101,"885,122",101,116,"873,092",105,121,"864,764",105,117,"853,476",133,148,"843,524",118,134
District of Columbia,"601,723",24,24,"599,657",28,29,"591,833",32,34,"588,292",36,44,"581,530",33,37,"550,521",44,48
Florida,"18,801,310","2,262","2,445","18,537,969","2,369","2,558","18,328,340","2,760","2,978","18,251,243","2,943","3,214","18,089,888","3,097","3,374","17,789,864","3,194","3,543"
Georgia,"9,687,653","1,148","1,244","9,829,211","1,172","1,284","9,685,744","1,368","1,493","9,544,750","1,492","1,641","9,363,941","1,557","1,693","9,072,576","1,582","1,729"
Hawaii,"1,360,301",109,113,"1,295,178",99,109,"1,288,198",102,107,"1,283,388",125,138,"1,285,498",144,161,"1,275,194",129,140
Idaho,"1,567,582",185,209,"1,545,801",199,226,"1,523,816",212,232,"1,499,402",218,252,"1,466,465",239,267,"1,429,096",243,275
Illinois,"12,830,632",858,927,"12,910,409",832,911,"12,901,563",950,"1,043","12,852,548","1,127","1,249","12,831,970","1,136","1,254","12,763,371","1,230","1,361"
