StateName,2005PCP,2006PCP,2007PCP,2008PCP,2009PCP,2010PCP,2005TAVG,2006TAVG,2007TAVG,2008TAVG,2009TAVG,2010TAVG
ALABAMA,4.75667,3.96167,3.15583,4.4225,6.14833,3.93333,63.3917,64.2,64.4167,62.925,62.9167,62.7083
ALASKA,3.36333,3.22583,2.84083,3.09083,2.93417,2.82083,29.1833,26.4,28.0917,25.0833,26.7583,27.4167
ARIZONA,1.09,0.813333,0.915833,1.02583,0.585833,1.15917,61.15,61.125,61.5917,60.6333,61.0833,60.3917
ARKANSAS,2.97917,4.11083,3.89167,5.04,6.01667,3.2325,61.9667,61.9917,61.8083,59.8583,59.9333,61.175
CALIFORNIA,2.50833,1.9675,1.15333,1.4875,1.42083,2.59833,58.6083,58.6417,58.9333,58.9167,58.8417,57.725
COLORADO,1.57917,1.55583,1.55917,1.455,1.56583,1.51583,46.775,46.5083,46.1917,44.9417,45.1833,46.1583
CONNECTICUT,4.55667,4.75083,3.795,4.96083,4.20833,4.045,49.5083,51.1333,49.5333,49.7083,48.8417,51.35
DELAWARE,3.90417,3.89667,3.2,3.55083,4.65917,3.3825,55.725,57.3333,56.2833,56.325,55.425,56.6667
FLORIDA,4.95667,3.41667,3.64333,4.4275,4.48,4.01,70.8417,71.3667,71.75,70.825,71.1667,69.1917
GEORGIA,4.56167,3.25,3.1725,3.91583,5.12333,3.58667,63.7917,64.55,64.8,63.5167,63.4167,62.9583
IDAHO,2.04917,2.19833,1.63,1.83083,1.90667,2.17833,43.5833,44.1833,44.7833,42.525,42.8167,43.3333
ILLINOIS,2.61917,3.38583,3.0575,4.18167,4.24667,3.39,53.6917,54,53.6833,50.925,51.425,52.8917
INDIANA,3.40667,4.25333,3.4825,4.14167,3.83917,3.11583,52.8583,53.425,53.3083,51.0417,51.2917,52.6083
IOWA,2.48667,2.7,3.53417,3.57667,3.2625,3.67083,49.6167,50.3917,48.8917,45.9167,46.7,48.1917
KANSAS,2.46667,2.06083,2.77167,2.77833,2.65,2.32,55.8917,56.8833,55.075,53.5917,53.6,55.275
KENTUCKY,3.31667,4.36417,3.48833,3.87583,4.52917,3.62917,56.7917,56.8167,57.7167,55.3667,55.3917,56.0167
LOUISIANA,3.79833,4.61667,4.3675,4.67667,5.3375,3.47917,67.525,67.775,67.3917,66.65,66.85,66.4583
MAINE,5.1325,4.30417,3.96917,4.66833,4.12167,4.10917,41.8583,43.975,40.725,41.6167,40.8667,44.6417
MARYLAND,3.66667,3.74833,3.00333,3.74917,4.2725,3.40417,55.1833,56.5333,55.6917,55.325,54.6167,55.8667
MASSACHUSETTS,4.75,4.475,3.79083,4.975,4.30917,4.13667,48.4,50.1167,48.2917,48.625,47.75,50.35
MICHIGAN,2.49083,2.9875,2.555,3.07083,2.8225,2.60167,46.0583,47.0167,46.0917,44.0417,43.7833,47.0833
MINNESOTA,2.63333,1.89833,2.43417,2.27833,2.19833,2.78667,43.075,44.4,42.4,39.4417,40.1167,42.85
MISSISSIPPI,4.22,4.3725,3.48167,4.95417,5.70083,3.65917,64.2833,64.7667,64.95,63.3333,63.6417,63.5
MISSOURI,3.03417,3.1675,3.29833,4.675,4.30917,3.71417,56.25,56.7667,56.1917,53.45,53.975,55.2083
MONTANA,1.6675,1.52,1.4975,1.62333,1.45417,1.8325,43.0667,44.375,44.0333,41.3917,41.15,41.5583
NEBRASKA,1.96417,1.79667,2.38667,2.34167,2.14167,2.25583,50.7167,51.125,49.9583,47.7,47.6,49.3417
NEVADA,1.12917,0.805833,0.6325,0.640833,0.768333,1.08833,50.6667,50.7917,51.5333,50.425,50.3833,50.0667
NEW HAMPSHIRE,5.09167,4.855,4.0275,5.065,4.30667,4.16583,44.0417,45.7833,43.1083,43.8667,42.9667,46
NEW JERSEY,4.06917,4.28417,3.91167,3.93667,4.43083,3.7175,53.45,54.975,53.6,53.625,52.7333,54.675
NEW MEXICO,1.195,1.33083,1.22917,1.145,0.995,1.235,54.7167,54.7667,54.2167,53.6417,54.275,54.175
NEW YORK,3.90417,4.07417,3.70583,3.9775,3.53083,3.66,46.225,47.6417,45.6583,45.7917,45.0167,47.25
NORTH CAROLINA,3.965,4.26333,2.895,3.8175,4.43167,3.85583,59.4333,59.8333,60.4833,59.3333,58.8833,59.025
NORTH DAKOTA,1.74833,1.16833,1.58333,1.64667,1.58,1.95667,42.4,43.8333,41.7667,39.3333,38.525,40.875
OHIO,3.3425,3.63,3.43,3.675,3.04167,3.06333,51.8,52.7083,52.2667,50.6333,50.5417,51.7083
OKLAHOMA,2.29667,2.48417,3.63,3.19167,3.17,2.67,60.8417,62.1583,60.05,59.5667,59.425,60.3167
OREGON,2.76833,3.03667,2.41583,2.38583,2.30167,3.15917,47.7083,47.9583,47.7917,46.8,47.2667,47.125
PENNSYLVANIA,3.58083,3.96417,3.67667,3.81833,3.56417,3.52583,49.5,50.7583,49.5083,48.85,48.45,50.1
RHODE ISLAND,4.82083,4.7275,3.70583,4.7275,4.50167,4.4475,50.0917,51.85,50.2917,50.7667,49.775,51.9583
SOUTH CAROLINA,3.95917,3.64417,2.90833,3.81417,4.21333,3.4325,63.0667,63.625,64.3,62.95,62.675,62.5667
SOUTH DAKOTA,1.725,1.3275,1.91167,1.97333,1.8825,2.05667,47.3417,48.15,46.8,43.8583,43.575,45.1417
TENNESSEE,3.72417,4.0725,3.14333,4.14667,5.02333,4.1375,58.75,58.9,59.9417,57.625,57.5833,57.9167
TEXAS,1.85,2.09417,3.01667,1.98333,2.37833,2.3175,65.9917,67.125,64.8417,65.5333,65.7667,65.1083
UTAH,1.39,1.20083,0.94,0.971667,0.983333,1.43583,49.3333,49.1667,49.9,48.1167,48.45,48.3167
VERMONT,4.36583,4.52333,4.06917,4.55333,3.95167,4.1,43.4167,45.0583,42.175,43.05,42.2833,44.8917
